k,rho,u_old_norm,u_new_norm,u_applied_norm
99,0.05590540620684059,1.275525734399501,1.2981138200826579,1.2981138200826579
100,0.06290671165463879,1.2660943662064994,1.2877399320965064,1.2660943662064994
101,0.06975102827460689,1.2574122243306596,1.279758302376656,1.2574660677525187
102,0.07657354592708987,1.2484250923968772,1.2713999311340618,1.2489087437410336
103,0.08336658322800894,1.2390846897411567,1.2625450571072168,1.2407851647982033
104,0.0901168153165296,1.2294055840115568,1.2529402977063169,1.2332718659121722
105,0.09678905336555688,1.2193124249178795,1.2426943410391236,1.2262887877075368
106,0.10336430900761207,1.208809501658153,1.2318060499102959,1.2195239668821467
107,0.10982366974684099,1.197925391415657,1.2203163506996393,1.2124531511909935
108,0.11614978921244479,1.186710681777025,1.2083044499735027,1.2044361622924147
109,0.12232820575176584,1.1752325165354673,1.195881179619767,1.194840919508575
110,0.12834850560073563,1.1831803830469223,1.1831803830469223,1.1831803830469223
111,0.13420534443132848,1.1703496888534468,1.1703496888534468,1.1703496888534468
112,0.1398993365690836,1.1574729799083694,1.1574729799083694,1.1574729799083694
113,0.14543434196358174,1.1445638394262245,1.1445638394262245,1.1445638394262245
114,0.1508141655904901,1.131635182002246,1.131635182002246,1.131635182002246
115,0.156042551890055,1.1186992676450462,1.1186992676450462,1.1186992676450462
116,0.16112317964197864,1.1057677163604376,1.1057677163604376,1.1057677163604376
117,0.16605965726468352,1.092851523208319,1.092851523208319,1.092851523208319
118,0.1708555185267583,1.0799610737579954,1.0799610737579954,1.0799610737579954
119,0.17551421865820233,1.0671061598707514,1.0671061598707514,1.0671061598707514
