tau_d,blending,noise_delta,run,error_envelope,error_outside_switch,error_spike_windowed,error_spike_instant,num_switches,avg_time_between_switches,switch_rate,J,J_raw
0.0,False,0.0,0,0.7151511829358199,0.2528426560354264,0.7151511829358199,0.693242545335629,10,1.9711111111111113,0.5,0.2564561100265517,0.250702424073119
0.0,True,0.0,0,0.7161368497471676,0.2529047982457865,0.7161368497471676,0.6947838818106579,10,1.9711111111111113,0.5,0.0834386671710312,0.2509489757399753
0.0,False,0.0,1,1.2176295559447086,0.28938037417144674,1.144952273438064,1.0900420115074814,9,2.2,0.45,0.25268384893892837,0.24131564964668836
0.0,True,0.0,1,1.2176295559447086,0.28939519307136574,1.144952273438064,1.0900420115074814,9,2.2,0.45,0.062033848403097065,0.2412278017173816
0.0,False,0.0,2,1.3067054582253697,0.33084333082427175,0.5623234347755355,0.4821284026946491,8,2.3142857142857145,0.4,0.34633520478469165,0.33772445834563897
0.0,True,0.0,2,1.3067054582253697,0.3308772496348418,0.5623234347755355,0.4821284026946491,8,2.3142857142857145,0.4,0.019918535626257415,0.33772445834563897
0.0,False,0.0,3,0.9761449784169572,0.26575319497331606,0.9378489840329254,0.9375901673184442,10,1.9688888888888891,0.5,0.3299087781176207,0.2667348725989086
0.0,True,0.0,3,0.9761449784169572,0.2652148087620307,0.9378489840329254,0.9375901673184442,10,1.9688888888888891,0.5,0.08514627216876647,0.2667348725989086
0.0,False,0.0,4,0.8103557375193534,0.2601286958255411,0.7261684670277985,0.6653499322175278,9,2.1875,0.45,0.20427103469434252,0.2028066229382193
0.0,True,0.0,4,0.8103557375193534,0.2601880462456769,0.7261684670277985,0.6653499322175278,9,2.1875,0.45,0.042912421782492584,0.20285843010103982
0.0,False,0.0,5,1.1737740326293833,0.3011810994188762,1.1737740326293833,1.1573688316845978,9,2.175,0.45,0.3468782559900115,0.33718961658208857
0.0,True,0.0,5,1.1737740326293833,0.30122727816442396,1.1737740326293833,1.1573688316845978,9,2.175,0.45,0.06845603258037113,0.33715541634671103
0.0,False,0.0,6,1.0798803830220403,0.26584124757850025,1.0798803830220403,1.0497832392493867,10,1.9555555555555557,0.5,0.24909068496389278,0.25949523887379694
0.0,True,0.0,6,1.0798803830220403,0.2654099174599623,1.0798803830220403,1.0497832392493867,10,1.9555555555555557,0.5,0.07080748145511961,0.26497870323674083
0.0,False,0.0,7,0.9357769628031534,0.28744820526565923,0.3977496441280669,0.3695619042052943,8,2.3171428571428576,0.4,0.24148275834690486,0.23757633452424984
0.0,True,0.0,7,0.9357769628031534,0.2874814967210288,0.3977496441280669,0.3695619042052943,8,2.3171428571428576,0.4,0.012769188007155569,0.23757633452424984
0.0,False,0.0,8,0.9555809542122895,0.2717589993497955,0.9023716636409811,0.8404403829283088,9,2.1975,0.45,0.2071191447277232,0.205616792140378
0.0,True,0.0,8,0.9555809542122895,0.27178358026368715,0.9023716636409811,0.8404403829283088,9,2.1975,0.45,0.04733227203119936,0.20574646909590907
0.0,False,0.0,9,0.7272697982512442,0.24569215264801852,0.6317849695236221,0.5759083375966685,10,1.9711111111111113,0.5,0.3086194969708776,0.2532942018437687
0.0,True,0.0,9,0.7272697982512442,0.24560151393010005,0.6317849695236221,0.5759083375966685,10,1.9711111111111113,0.5,0.06427733051179108,0.2532942018437687
0.0,False,0.01,0,1.0479684182358855,0.2751296512296671,1.031170366653688,0.9120708085445637,9,2.17,0.45,0.34251793681403936,0.3128508262536836
0.0,True,0.01,0,1.0479684182358855,0.27519041187544957,1.031170366653688,0.9120708085445637,9,2.17,0.45,0.04301131202422295,0.3128508262536836
0.0,False,0.01,1,1.2130493070178396,0.3227099365300733,0.5182905463250852,0.4536951495039841,8,2.3114285714285714,0.4,0.30007260145629394,0.29124442408142975
0.0,True,0.01,1,1.2130493070178396,0.32273833795459705,0.5182905463250852,0.4536951495039841,8,2.3114285714285714,0.4,0.019132757479282923,0.29124442408142975
0.0,False,0.01,2,0.8137703581360436,0.26348606988497336,0.8124993594360123,0.7731666779981686,9,2.2025000000000006,0.45,0.207043021408943,0.2055167738253637
0.0,True,0.01,2,0.8137703581360436,0.2635083018198853,0.8124993594360123,0.7731666779981686,9,2.2025000000000006,0.45,0.048029420788879756,0.20562610866569944
0.0,False,0.01,3,1.2415411382828454,0.2666215184813751,1.2415411382828454,1.2377327604352746,10,1.9733333333333336,0.5,0.408994483429759,0.40789232480920684
0.0,True,0.01,3,1.2411968385711232,0.2666801184706561,1.2411968385711232,1.237339522778301,10,1.9733333333333336,0.5,0.11929049227840402,0.40796934846544436
0.0,False,0.01,4,1.1463276109396912,0.3203388053800936,0.5065130941702217,0.45008105873432624,8,2.3000000000000003,0.4,0.3074734127708099,0.29583616117920813
0.0,True,0.01,4,1.1463276109396912,0.3203374041735422,0.5065130941702217,0.45008105873432624,8,2.3000000000000003,0.4,0.01829947555307324,0.29583616117920813
0.0,False,0.01,5,1.2012867643480427,0.2951101437270624,1.1525198395947036,1.1214257652510484,9,2.2025000000000006,0.45,0.28554432534511737,0.27281588213374985
0.0,True,0.01,5,1.2012867643480427,0.2951393920959067,1.1525198395947036,1.1214257652510484,9,2.2025000000000006,0.45,0.06960418281111586,0.2672802790554062
0.0,False,0.01,6,1.2269681291740646,0.30452552866633525,1.2269681291740646,1.211734694588084,9,2.1850000000000005,0.45,0.3417542860494787,0.3305818315368057
0.0,True,0.01,6,1.2269681291740646,0.30453316321287105,1.2269681291740646,1.211734694588084,9,2.1850000000000005,0.45,0.07486321143651091,0.3305733724558472
0.0,False,0.01,7,1.2819588783968148,0.29782392993548096,1.2497112793840217,1.13615662331436,9,2.1625000000000005,0.45,0.2421932093144133,0.22966142129217978
0.0,True,0.01,7,1.2819588783968148,0.29782917376428736,1.2497112793840217,1.13615662331436,9,2.1625000000000005,0.45,0.046797970979549866,0.2297620722453886
0.0,False,0.01,8,1.0869855989800905,0.277015485115181,1.0664657412759526,0.9433500270221689,9,2.175,0.45,0.24644746531654824,0.21511114361829714
0.0,True,0.01,8,1.0869855989800905,0.27708227504528005,1.0664657412759526,0.9433500270221689,9,2.175,0.45,0.04633865325751502,0.21511114361829714
0.0,False,0.01,9,1.3602188196854317,0.2837055261197644,1.3602188196854317,1.3550723347302787,10,1.9711111111111113,0.5,0.33992228361957805,0.3329569560175559
0.0,True,0.01,9,1.3590478663016687,0.28282437264737814,1.3590478663016687,1.353736429321872,10,1.9711111111111113,0.5,0.10191339804877145,0.3329569560175559
0.0,False,0.02,0,0.6253647815312701,0.2561099742361692,0.5676566724574887,0.556953466517035,9,2.2125000000000004,0.45,0.20220824566831527,0.2006978515560505
0.0,True,0.02,0,0.6253647815312701,0.2560979391829213,0.5676566724574887,0.556953466517035,9,2.2125000000000004,0.45,0.05374464137307607,0.20078755060197162
0.0,False,0.02,1,1.3696188036577925,0.28909707724985073,1.3696188036577925,1.3618050785468743,10,1.9666666666666666,0.5,0.3857232282632055,0.371938700104392
0.0,True,0.02,1,1.3699582169614086,0.28798508347881696,1.3699582169614086,1.3623754419609684,10,1.9666666666666666,0.5,0.10653897700094155,0.37194701074758735
0.0,False,0.02,2,0.9221682583052268,0.27728241798542586,0.827350839602999,0.8203178224476131,9,2.165,0.45,0.3129630472760372,0.30831330069481605
0.0,True,0.02,2,0.9221682583052268,0.27732661199249303,0.827350839602999,0.8203178224476131,9,2.165,0.45,0.051813778114062896,0.3084517192611172
0.0,False,0.02,3,0.8951586155811151,0.2720299636296298,0.8951586155811151,0.8586547587977179,9,2.1825,0.45,0.21169319105466752,0.2085012207180126
0.0,True,0.02,3,0.8951586155811151,0.27207234619131637,0.8951586155811151,0.8586547587977179,9,2.1825,0.45,0.0477784468839881,0.20859895698075823
0.0,False,0.02,4,0.7887088582793254,0.28723435465569963,0.43548126835128875,0.3890262864983925,8,2.325714285714286,0.4,0.24906744938920125,0.24496539840876672
0.0,True,0.02,4,0.7887088582793254,0.28725799983484485,0.43548126835128875,0.3890262864983925,8,2.325714285714286,0.4,0.011778314324617482,0.24496539840876672
0.0,False,0.02,5,1.1245603755118376,0.3122930729548103,0.44779194142107887,0.4074974764500593,8,2.3057142857142856,0.4,0.27405283167287786,0.26610768743513125
0.0,True,0.02,5,1.1245603755118376,0.312312846370386,0.44779194142107887,0.4074974764500593,8,2.3057142857142856,0.4,0.016243559689434625,0.26610768743513125
0.0,False,0.02,6,0.7254141295563404,0.25160687982277724,0.6263694496083166,0.6176585597673903,10,1.9711111111111113,0.5,0.2580891321281533,0.219719554924892
0.0,True,0.02,6,0.7254141295563404,0.25163902135686633,0.6263694496083166,0.6188258721685224,10,1.9711111111111113,0.5,0.07334027770800243,0.21983016358303142
0.0,False,0.02,7,1.2789492641680964,0.2985600125922218,1.240836639825213,1.1011404327140821,9,2.16,0.45,0.3168256477133472,0.3076261985352746
0.0,True,0.02,7,1.2789492641680964,0.29861952723547003,1.240836639825213,1.1011404327140821,9,2.16,0.45,0.049947702808752006,0.3076261985352746
0.0,False,0.02,8,1.3404284143131713,0.28958438133390735,1.3404284143131713,1.323189356649846,10,1.9377777777777778,0.5,0.39886569779660425,0.3841337828824661
0.0,True,0.02,8,1.3404284143131713,0.2890111118379413,1.3404284143131713,1.323189356649846,10,1.9377777777777778,0.5,0.09461224032028927,0.3847410676829122
0.0,False,0.02,9,1.1183630338160035,0.30549263759358236,0.40043719556832663,0.383521340123311,8,2.3000000000000003,0.4,0.2349558556244873,0.22546991299777316
0.0,True,0.02,9,1.1183630338160035,0.3055198852530724,0.40043719556832663,0.383521340123311,8,2.3000000000000003,0.4,0.016348843684839968,0.22546991299777316
0.0,False,0.04,0,1.1590110492046644,0.30124588791583684,1.1590110492046644,1.1286309808432666,10,1.9666666666666666,0.5,0.3667254504565305,0.36544565269387685
0.0,True,0.04,0,1.1578655449492035,0.3012566624853683,1.1578655449492035,1.1266506026653715,10,1.9666666666666666,0.5,0.09297010415951054,0.36544565269387685
0.0,False,0.04,1,1.1576330073812033,0.2903710899407319,1.14865905757004,1.0482027116055543,10,1.9266666666666667,0.5,0.3136708847436086,0.298496686925623
0.0,True,0.04,1,1.1576330073812033,0.29043354827498546,1.14865905757004,1.0482027116055543,10,1.9266666666666667,0.5,0.05073468696800274,0.29863511629301215
0.0,False,0.04,2,1.0317091744207336,0.30672997786685235,0.49175374523922755,0.42319083905899124,8,2.3171428571428576,0.4,0.2719917650765385,0.26770275440077973
0.0,True,0.04,2,1.0317091744207336,0.3067645237254032,0.49175374523922755,0.42319083905899124,8,2.3171428571428576,0.4,0.014103345908061992,0.26770275440077973
0.0,False,0.04,3,1.187897489218221,0.2819917384767853,1.187897489218221,1.175351828077249,10,1.9688888888888891,0.5,0.3573798897893952,0.34521804949095564
0.0,True,0.04,3,1.188828190591697,0.2802323706564574,1.188828190591697,1.1766934441435823,10,1.9688888888888891,0.5,0.09883155447711439,0.3453458175687923
0.0,False,0.04,4,1.3680845628158935,0.2960112795887624,1.2935355115824523,1.0827479229516932,10,1.913333333333333,0.5,0.49808620946582466,0.48340314106896454
0.0,True,0.04,4,1.3680845628158935,0.2960865065400826,1.2935355115824523,1.0827479229516932,10,1.913333333333333,0.5,0.03516625122392811,0.48340314106896454
0.0,False,0.04,5,1.0548966602672027,0.3021885100966997,0.39291586709516485,0.3770390700419568,9,2.005,0.45,0.2216529456770734,0.21399459943446708
0.0,True,0.04,5,1.0548966602672027,0.3022447707784661,0.39291586709516485,0.3770390700419568,9,2.005,0.45,0.015838657006879035,0.21399459943446708
0.0,False,0.04,6,1.3480437195750976,0.29986227833108386,1.316995153411242,1.1819839250559718,10,1.9244444444444448,0.5,0.2604096236804926,0.25134524388658863
0.0,True,0.04,6,1.3480437195750976,0.2997817165269155,1.316995153411242,1.1819839250559718,10,1.9200000000000002,0.5,0.049049861868278984,0.25134524388658863
